DISTANCE,Arrival
28.0,56.0
30.0,17.0
31.0,32.16133162612036
41.0,27.92792792792793
47.0,23.0
49.0,30.346153846153847
54.0,18.0
55.0,49.56521739130435
66.0,60.71454545454545
67.0,41.666834635088605
68.0,37.02877237851662
69.0,65.39178885630498
70.0,39.654804270462634
72.0,20.0
73.0,43.066914498141266
74.0,44.45815841029947
75.0,35.56842105263158
76.0,41.89434129089302
77.0,51.429800968262505
80.0,18.0
82.0,29.84763948497854
83.0,35.829159875537115
84.0,30.18859957776214
86.0,47.43388744852829
87.0,60.75342465753425
88.0,41.954992967651194
89.0,36.56855003403676
90.0,38.77058823529412
91.0,37.955263157894734
93.0,37.14653586756591
94.0,46.67336683417086
95.0,36.68694550063371
96.0,40.55885780885781
97.0,148.0
98.0,50.915191053122086
99.0,36.864285714285714
100.0,12.483584438947606
101.0,10.843585237258347
102.0,15.179444502236555
104.0,27.276923076923076
106.0,41.48536392405063
108.0,42.32680827433014
109.0,33.06148462884279
110.0,30.578770323304056
111.0,69.0
113.0,43.353637901861255
114.0,45.46914556962025
115.0,63.0
116.0,44.771544715447156
118.0,38.58292231812577
119.0,32.82661400163443
120.0,40.91821069348862
121.0,13.49838605551969
122.0,46.611832061068704
123.0,29.258726899383984
125.0,44.75529801324503
127.0,41.004926108374384
128.0,46.2557251908397
129.0,28.465615763546797
130.0,34.176016123614374
132.0,37.46511627906977
133.0,48.326
134.0,34.198993754337266
135.0,45.75393053016453
136.0,4.0
137.0,37.68300030123506
139.0,37.27037392138063
140.0,38.645618345618345
141.0,39.95847750865052
142.0,52.983071342200724
143.0,41.18620403649433
144.0,46.58748169838946
145.0,45.78503118503119
147.0,42.152317880794705
148.0,24.4313089167053
149.0,7.0
150.0,27.260202302057902
151.0,36.96869821395691
152.0,38.662572981679084
153.0,34.203870967741935
154.0,30.0
155.0,44.77899096385542
156.0,37.424285714285716
157.0,43.497807186273754
158.0,44.67813302883243
159.0,26.25860904794058
160.0,32.276844411979546
161.0,46.01704545454545
162.0,30.338380015140046
163.0,12.008457014841781
164.0,44.51042109740536
166.0,39.041400304414005
168.0,27.27035523420308
169.0,48.63169164882227
170.0,41.21143304620204
172.0,36.98779867819014
173.0,38.270743749004616
174.0,43.69290465631929
175.0,34.45442001655781
176.0,62.622950819672134
177.0,37.064205457463885
178.0,64.51612903225806
179.0,40.14414414414414
181.0,28.44271844660194
182.0,44.4766081871345
183.0,23.402985074626866
184.0,45.628487387467686
185.0,28.889666666666667
187.0,46.166794029242446
188.0,28.205913978494625
189.0,27.2026416702173
190.0,39.881997695577894
191.0,37.40044994375703
192.0,36.42753386115292
193.0,51.258823529411764
195.0,45.73268921095008
196.0,40.48902291917973
197.0,28.74411208526732
198.0,48.64967948717949
199.0,50.72028026469443
200.0,49.03316538044518
201.0,29.07724425887265
202.0,66.34408602150538
203.0,50.92896174863388
204.0,34.187433439829604
205.0,36.81949111857897
207.0,43.354314720812184
208.0,36.166862976050254
209.0,43.54904390934844
210.0,25.74748874263942
212.0,46.85442527809125
213.0,41.35432003099574
214.0,34.7850023057004
